の,of,no
法令,Laws and ordinances,hourei
変数,variable,hensuu
別れる,break up,wakare ru
化石,fossil,kaseki
慣れる,Get used,nare ru
謙,Ken,ken
サーキット,circuit,saakitto
ファンタジー,Fantasy,fantajii
辰,Dragon,tatsu
出生,Birth,shusshou
都立,Municipal,toritsu
妙,Strange,myou
チャンピオンズ,Champions,chanpionzu
光学,Optics,kougaku
住所,Street address,juusho
国産,Domestic,kokusan
突撃,Assault,totsugeki
反撃,Counterattack,hangeki
純粋,pure,junsui
ジョージア,Georgia,joojia
丈,length,take
出口,exit,deguchi
各々,Each,kakukaku
小泉,Koizumi,koizumi
宿泊,Lodging,shukuhaku
妨害,Interference,bougai
技師,Engineer,gishi
自由民主党,LDP,jiyuuminshutou
もっと,More,motto
起動,start up,kidou
越後,Echigo,echigo
苦しむ,suffer,kurushi mu
在任,Office,zainin
藩士,Samurai,han samurai
統括,Overall,toukatsu
アトランタ,Atlanta,atoranta
浅草,Asakusa,asakusa
我,I,ware
運,luck,un
開戦,Outbreak of war,kaisen
金額,Amount of money,kingaku
日立,Hitachi,hitachi
制約,Restriction,seiyaku
イスラーム,Islam,isuraamu
詞,Lyrics,shi
対称,Symmetry,taishou
年金,pension,nenkin
発動,Activate,hatsudou
ジャイアンツ,Giants,jaiantsu
富む,Abound,tomu
母音,vowel,boin
青木,Aoki,aoki
鎖,chain,kusari
豊田,Toyota,toyoda
シェア,share,shiea
麓,At the foot,fumoto
賛成,Agree,sansei
近藤,Kondo,kondou
増強,Increase,zoukyou
地獄,hell,jigoku
ホームページ,home page,hoomupeeji
門下,Disciple,monka
尽くす,Serve,tsukusu
リゾート,Resort,rizooto
理想,ideal,risou
被災,Disaster,hisai
観音,Kannon,kannon
ザクセン,Saxony,zakusen
対照,Contrast,taishou
探査,Probe,tansa
伊豆,Izu,izu
ドコモ,DoCoMo,dokomo
得票,Votes,tokuhyou
水中,Underwater,suichuu
年初,Beginning of the year,nen hatsu
拘束,Restraint,kousoku
滑走,Glide,kassou
歯科,Dentistry,shika
ロッテ,Lotte,rotte
レーシング,Racing,reeshingu
生き残る,survive,ikinokoru
盾,shield,tate
徹,Toru,tooru
劣る,Inferior,otoru
女神,Goddess,megami
通学,Commuting to school,tsuugaku
燃焼,combustion,nenshou
頂点,vertex,chouten
バイク,bike,baiku
恐怖,Fear,kyoufu
何も,nothing,nanimo
燕,swallow,tsubame
起訴,Indictment,kiso
反射,Reflection,hansha
細菌,Bacterium,saikin
集会,Meeting,shuukai
ノー,No,noo
ドラえもん,Doraemon,doraemon
語源,Etymology,gogen
乳,milk,chichi
コンテナ,container,kontena
皇子,Prince,ouji
改訂,Revision,kaitei
路面,The road surface,romen
範,Range,han
精度,accuracy,seido
月中,During the month,gatsuchuu
川上,Kawakami,kawakami
吉本,Yoshimoto,yoshimoto
損失,loss,sonshitsu
熊野,Kumano,kumano
講義,lecture,kougi
農林,Agriculture and forestry,nourin
貨車,Freight car,kasha
盛岡,Morioka,morioka
エレベーター,Elevator,erebeetaa
さくら,Cherry Blossoms,sakura
冷房,Air conditioning,reibou
ターボ,turbo,taabo
砲弾,Shell,houdan
斗,Doo,to
気圧,Atmospheric pressure,kiatsu
務,Tsutomu,tsutomu
高崎,Takasaki,takasaki
セントラル,Central,sentoraru
アレクサンドル,Alexandre,arekusandoru
ショート,short,shooto
債務,debt,saimu
大いに,Great,ooi ni
メロディ,Melody,merodi
ロイヤル,Royal,roiyaru
脅威,threat,kyoui
ラスト,last,rasuto
吉野,Yoshino,yoshino
鼻,nose,hana
王妃,Queen,ouhi
ベルト,belt,beruto
筑波,Tsukuba,tsukuba
晒す,Expose,sarasu
ノース,North,noosu
成り立つ,Consist,naritatsu
マケドニア,Macedonia,makedonia
マドリード,Madrid,madoriido
ミドル,Middle,midoru
アラン,Alan,aran
結び付く,Lead,musubi tsuku
開館,Open,kaikan
プラン,plan,puran
大津,Otsu,ootsu
学士,Bachelor,gakushi
イエス,Jesus,iesu
予告,Prior notice,yokoku
アンリ,Henri,anri
シュート,shoot,shuuto
バンク,bank,banku
メアリー,Mary,mearii
イリノイ,Illinois,irinoi
工科,Institute of Technology,kouka
産む,Give birth,umu
行使,exercise,koushi
解く,solve,toku
アーサー,Arthur,aasaa
ピエール,Pierre,pieeru
臨む,Face,nozomu
写す,Copy,utsusu
バレー,Valley,baree
細かい,Detailed,komaka i
歌舞伎,kabuki,kabuki
胴体,body,doutai
笠,Shade,kasa
促す,prompt,unagasu
チャンス,chance,chansu
一気,Chug,ikki
支線,Branch line,shisen
科目,Subject,kamoku
生年,year of birth,seinen
執る,take,toru
格納,Store,kakunou
仮想,Virtual,kasou
絡む,Entangle,karamu
ミステリー,Mystery,misuterii
中学生,Middle school students,chuugakusei
今度,now,kondo
小笠原,Ogasawara,ogasawara
載せる,Load,nose ru
ピンク,pink,pinku
識別,identification,shikibetsu
亮,Ryo,akira
ネ,Ne,ne
ダメージ,damage,dameeji
テキスト,text,tekisuto
外見,Outward appearance,gaiken
回答,Answer,kaitou
広報,public relations,kouhou
発する,Emit,hassu ru
バン,Van,ban
筒,Tube,tsutsu
鯨,whale,kujira
フランツ,Franz,furantsu
磁気,Magnetism,jiki
三角,triangle,sankaku
境内,Grounds,keidai
橘,Mandarin orange,tachibana
闇,darkness,yami
支社,Branch office,shisha
チェンジ,change,chenji
閲覧,Reading,etsuran
皮膚,Skin,hifu
綴る,spell,tsuzuru
実戦,Combat,jissen
動かす,move,ugoka su
医学部,Medical faculty,igakubu
長谷川,Hasegawa,hasegawa
奨励,Encouragement,shourei
領地,territory,ryouchi
立法,legislation,rippou
近世,The early modern period,kinsei
代行,Acting,daikou
包む,Wrap,tsutsumu
レスリング,wrestling,resuringu
年半,Year and a half,nenhan
所得,income,shotoku
菜,Greens,na
通商,trade,tsuushou
ピアニスト,pianist,pianisuto
キーボード,keyboard,kiiboodo
英文,English,eibun
偶然,By chance,guuzen
チップ,Chip,chippu
歌唱,singing,kashou
筆,Writing brush,fude
策定,Formulate,sakutei
本数,Number,honsuu
繁,Shigeru,han
特異,Singular,tokui
遭遇,Encounter,souguu
跨がる,Get astride,mataga ru
固める,Consolidate,katame ru
品川,Shinagawa,shinagawa
安価,Inexpensive,anka
諏訪,Suwa,suwa
極端,extreme,kyokutan
菓子,Pastry,kashi
儀式,Ritual,gishiki
スコア,Score,sukoa
法廷,Courtroom,houtei
ローズ,Rose,roozu
天気,weather,tenki
強度,Strength,kyoudo
ユーロ,Euro,yuuro
あくまで,Only,akumade
浮上,Surfacing,fujou
晩,night,ban
母体,Mother,botai
噛む,bite,kamu
臨床,Clinical,rinshou
魅力,Charm,miryoku
上述,Above-mentioned,joujutsu
行える,It can be performed,okonae ru
チャレンジ,Challenge,charenji
グレート,Great,gureeto
アイデア,idea,aidea
熱心,Enthusiasm,nesshin
等しい,equal,hitoshii
飯田,Iida,iida
一揆,Riot,ikki
強豪,Powerhouse,kyougou
砂糖,sugar,satou
桐,Tung,kiri
カルロス,Carlos,karurosu
ソース,Source,soosu
懲役,Jail time,choueki
宙,Chu,chuu
招集,Convocation,shoushuu
葡萄,grapes,budou
オレンジ,Orange,orenji
勾配,Slope,koubai
ピーク,peak,piiku
専属,Exclusive,senzoku
リレー,relay,riree
信ずる,believe,shinzu ru
さいたま,Saitama,saitama
ウェールズ,Wales,ueeruzu
ボクサー,boxer,bokusaa
減,Reduction,gen
棚,shelf,tana
喜ぶ,Be delighted,yorokobu
無効,Invalid,mukou
呈す,Teisu,teisu
歩行,walking,hokou
アール,R,aaru
検証,Verification,kenshou
ドラ,Dora,dora
珈琲,coffee,koohii
繁栄,prosperity, hanei
明日,tomorrow,ashita
正義,justice,seigi
倒産,bankruptcy,tousan
幻,Phantom,maboroshi
道場,dojo,doujou
鹿島,Kashima,kashima
緑色,green,ryokushoku
ホールディングス,Holdings,hoorudingusu
南京,Nanjing,nankin
見方,Viewpoint,mikata
ハードウエア,Hardware,haadouea
ガード,guard,gaado
法務,Ministry of Justice,houmu
玩具,toy,gangu
伝達,Transmission,dentatsu
伸,Shin,shin
急激,Sudden,kyuugeki
リズム,rhythm,rizumu
起工,Laid down,kikou
宅,home,taku
不要,Unnecessary,fuyou
レーザー,laser,reezaa
栄える,Flourish,sakae ru
ボーイング,Bowing,booingu
毎月,monthly,maitsuki
橋梁,Bridge,kyouryou
サイクル,cycle,saikuru
先駆ける,Be the first,sakigake ru
台頭,rise,taitou
明かす,Give away,aka su
大久保,Okubo,ookubo
すずき,Suzuki,suzuki
ゲイ,Gay,gei
水路,Waterway,suiro
プラス,plus,purasu
昆虫,insect,konchuu
刳る,Scoop,ko ru
絞る,squeeze,shiboru
職人,Craftsman,shokunin
革新,innovation,kakushin
称える,Honor,tonae ru
作風,Style,sakufuu
違法,illegal,ihou
ベースボール,baseball,beesubooru
オートバイ,motorcycle,ootobai
吊る,Hang,tsuru
小松,Komatsu,komatsu
列島,Archipelago,retsu shima
噴火,eruption,funka
涙,Tear,namida
浦和,Urawa,urawa
烏,crow,karasu
技能,Skill,ginou
報じる,Hojiru,houji ru
書房,Bookstore,shobou
鳥類,birds,chourui
箱根,Hakone,hakone
染色,staining,senshoku
談,Dan,dan
踏襲,Follow,toushuu
アドベンチャー,Adventure,adobenchaa
高層,Upper,kousou
武道,martial arts,budou
とても,very much,totemo
どれ,which one,dore
判事,Judge,hanji
良好,Favorable,ryoukou
笹,Bamboo grass,sasa
妊娠,pregnancy,ninshin
あの,that,ano
同僚,Colleague,douryou
優位,Superiority,yuui
小屋,Hut,koya
尾張,Conclusion,owari
みどり,Green,midori
角度,angle,kakudo
応える,answer,kotae ru
伊東,Ito,itou
捕獲,capture,hokaku
オブジェクト,object,obujiekuto
興業,Industrial enterprise,kougyou
番地,address,banchi
先進,Advance,senshin
ミラー,mirror,miraa
松田,Matsuda,matsuda
津波,tsunami,tsunami
腰,Hip,koshi
廃棄,Disposal,haiki
研,Ken,ken
首長,Head,shuchou
脂肪,fat,shibou
用水,Irrigation water,yousui
正月,New Year,shougatsu
発症,The onset,hasshou
覚,Satoru,kaku
北海,North Sea,hokkai
ブライアン,Brian,buraian
欠く,Lack,kaku
月曜日,Monday,getsuyoubi
渓谷,Valley,keikoku
地質,Geological features,chishitsu
単一,single, tanitsu
滅ぼす,destroy,horobo su
称賛,praise,shousan
イースト,Yeast,iisuto
墜落,Falling,tsuiraku
小学生,Elementary school students,shougakusei
見舞う,Ask after,mimau
誼み,See Yoshimi,gi mi
アルゴリズム,algorithm,arugorizumu
ペース,pace,peesu
赤字,deficit,akaji
軍用,Military,gunyou
テネシー,Tennessee,teneshii
モジュール,module,mojuuru
夏季,summer,kaki
誕生日,birthday,tanjoubi
ヤマト,Yamato,yamato
擁立,Fielded,youritsu
骨折,fracture,kossetsu
貰う,Receive,morau
綿,cotton,men
旗本,Bannerman,hata hon
決戦,Decisive battle,kessen
問,Asking,ton
触媒,catalyst,shokubai
天井,ceiling,tenjou
情勢,situation,jousei
陣営,camp, jinei
キャスト,cast,kyasuto
礼拝,worship,reihai
ルー,Roux,ruu
全身,Whole body,zenshin
春日,Kasuga,kasuga
序盤,Opening,joban
奴,guy,yatsu
降板,Step down,kouban
友好,Friendship,yuukou
政務,Parliamentary,seimu
千代田,Chiyoda,chiyoda
紙幣,bill,shihei
ドラゴン,Dragon,doragon
傾斜,Inclination,keisha
楽園,Paradise,rakuen
史跡,Historic sites,shiseki
リメイク,Remake,rimeiku
ダニエル,Daniel,danieru
少,Small,shou
流出,Flowing out,ryuushutsu
灰,Ash,hai
多大,Much,tadai
曰く,Say,iwaku
リンカーン,Lincoln,rinkaan
写本,Manuscript,shahon
電流,Electric current,denryuu
大山,Oyama,ooyama
早朝,early morning,souchou
呼吸,Respiration,kokyuu
公的,public,kouteki
樽,Barrel,taru
捜索,search,sousaku
鐘,bell,kane
径,Diameter,kei
朝日放送,Asahi Broadcasting Corporation,asahihousou
瞬間,moment,shunkan
ピット,pit,pitto
幹事,Executive secretary,kanji
民俗,Folk customs,minzoku
登る,climb,noboru
右翼,Right wing,uyoku
和解,settlement,wakai
悟,Satoru,satoshi
体操,Gymnastics,taisou
とりわけ,Among others,toriwake
マレーシア,Malaysia,mareeshia
スケール,scale,sukeeru
明く,Be open,aku
望遠,Telephoto,bouen
予防,prevention,yobou
ケンタッキー,Kentucky,kentakkii
飲食,Food and drink,inshoku
海底,Sea floor,kaitei
ストア,Store,sutoa
ダート,dirt,daato
ミラノ,Milan,mirano
総額,the amount,sougaku
出荷,shipment,shukka
役者,actor,yakusha
クラーク,Clerk,kuraaku
独裁,Dictatorship,dokusai
生態,Ecology,seitai
カンザス,Kansas,kanzasu
特化,Specialized,tokka
利く,Sharp,kiku
基金,Fund,kikin
伏見,Fushimi,fushimi
職務,Duties,shokumu
括弧,brackets,kakko
脱,De,datsu
蟻,ant,ari
遺伝,Heredity,iden
ルーム,Room,ruumu
知的,intellectual,chiteki
いまだ,Still,imada
再婚,Second marriage,saikon
そうした,If you do,soushita
上場,Listed,joujou
主権,sovereignty,shuken
安い,cheap,yasui
オーバー,over-,oobaa
サンデー,Sundae,sandee
親交,Friendship,shinkou
小島,Islet,kojima
着く,Reach,tsuku
牧師,Pastor,bokushi
据える,Lay,sue ru
頼朝,Yoritomo,rai asa
狼,wolf,ookami
菅,Kan,kan
債,Debt,sai
所管,Jurisdiction,shokan
展望,Outlook,tenbou
出張,Business trip,shutchou
辿る,follow,tadoru
流入,Inflow,ryuunyuu
貨幣,money,kahei
運命,Destiny,unmei
実家,Home,jikka
肺,lung,hai
破綻,Bankruptcy,hatan
照明,illumination,shoumei
大谷,Otani,ootani
出航,Departure,shukkou
無限,infinite,mugen
豆,beans,mame
靖,Yasushi,yasushi
敵対,Opposition,tekitai
天神,Heavenly gods,tenjin
改札口,Wicket,kaisatsuguchi
薬物,Drugs,yakubutsu
貸す,lend,kasu
皇太子,Crown Prince,koutaishi
八王子,Hachioji,hachiouji
喪失,loss,soushitsu
アントニオ,Antonio,antonio
オート,Auto,ooto
先代,Previous generation,sendai
配下,Subordinate,haika
重奏,Octet,juusou
荷物,Baggage,nimotsu
中東,Middle East,chuutou
句,clause,ku
バス停,bus stop,basu tei
梨,pear,nashi
直轄,Direct control,chokkatsu
要件,Requirement,youken
エリック,Eric,erikku
雀,sparrow,suzume
残存,The remaining,zanson
サウス,South,sausu
コミュニケーション,communication,komyunikeeshon
外科,Surgery,geka
釣る,fish,tsuru
表題,title,hyoudai
就航,Airlines flying,shuukou
討伐,Subjugation,toubatsu
船橋,Funabashi,funabashi
液晶,liquid crystal,ekishou
琴,Japanese harp,kon
審,Respondent,shin
債権,Credit,saiken
高木,Takagi,takagi
餌,feed,esa
セーブ,save,seebu
倉庫,Warehouse,souko
単なる,mere,tannaru
原田,Harada,harada
シアター,theater,shiataa
声明,statement,seimei
家系,Family tree,kakei
セブン,Seven,sebun
ブッシュ,Bush,busshu
ユー,You,yuu
市域,City limits,shiiki
弾圧,Oppression, danatsu
シャトル,shuttle,shatoru
経つ,Pass,hetsu
除去,Removal,jokyo
旭川,Asahikawa,asahikawa
太字,Bold face,futoji
鈴,bell,suzu
神殿,temple,shinden
有数,leading,yuusuu
有馬,Arima,arima
満足,Satisfaction,manzoku
渋滞,Traffic jam,juutai
硫黄,sulfur,iou
連動,Linkage,rendou
電磁,electromagnetic,denji
異例,Exceptional,irei
急遽,Hurriedly,kyuukyo
ノーベル,Nobel,nooberu
公募,Public offering,koubo
音響,acoustic,onkyou
蜜,Honey,mitsu
バブル,bubble,baburu
マックス,Max,makkusu
横綱,Sumo grand champion,yokozuna
競う,Compete with,kisou
南極,Antarctic,nankyoku
予め,In advance,arakajime
酒井,Sakai,sakai
準ずる,Conform,junzu ru
監査,audit,kansa
ペン,pen,pen
化粧,make up,keshou
吉川,Yoshikawa,yoshikawa
捧げる,devote,sasage ru
工学部,Faculty of Engineering,kougakubu
制圧,Suppression,seiatsu
物体,object,buttai
目撃,Witness,mokugeki
見事,Beautiful,migoto
ノート,Note,nooto
棋士,Players,kishi
干渉,interference,kanshou
認証,Certification,ninshou
重大,Significant,juudai
北上,Going north,kitakami
漏る,leak,moru
ジェイ,Jay,jiei
銀座,Ginza,ginza
バッハ,Bach,bahha
昼間,Daytime,hiruma
荒川,Arakawa,arakawa
踏切,Railroad crossing,fumikiri
農村,rural,nouson
モニター,monitor,monitaa
郵政,Posts and Telecommunications,yuusei
商工,Commerce and industry,shoukou
撮る,take,toru
堤,Bank,tsutsumi
叩く,Hit,tataku
引き渡す,hand over,hikiwatasu
バルブ,valve,barubu
蝶,butterfly,chou
好投,Good pitching,koutou
最適,Optimum,saiteki
赤色,red,sekishoku
祝う,celebrate,iwau
指令,Command,shirei
新生,Nascent,shinsei
ハリー,Harry,harii
さようなら,Goodbye,sayounara
飲料,Drinks,inryou
旋回,Turning,senkai
川口,Kawaguchi,kawaguchi
気に入る,Love,kiniiru
大塚,Otsuka,ootsuka
シード,seed,shiido
シミュレーション,simulation,shimyureeshon
電撃,Electric shock,dengeki
佳,Kei,ka
欠場,Miss,ketsujou
ロマン,Roman,roman
機材,equipment,kizai
個性,Personality,kosei
スイッチ,switch,suitchi
パロディ,Parody,parodi
襲名,Succession to smb.'S professional name,shuumei
不定期,Irregular,futeiki
フェリー,ferry,ferii
ヘッセン,Hesse,hessen
細い,thin,komai
乾,Dried,inui
エディ,Eddie,edi
緒,Cord,o
伝記,biography,denki
マリ,Mali,mari
台地,plateau,daichi
益,Benefit,masu
着工,Start of construction,chakkou
名門,Noble family,meimon
丁度,exactly,choudo
ロケ,Roque,roke
救出,rescue,kyuushutsu
アナウンス,announcement,anaunsu
順調,Favorable,junchou
ハーフ,half,haafu
番手,Count,bante
ならびに,As well as,narabini
支給,Supply,shikyuu
合理,Rational,gouri
皮切り,Beginning,kawa kiri
センサー,sensor,sensaa
トニー,Tony,tonii
整数,integer,seisuu
御前,Gozen,omae
精,Precision,sei
ソナタ,Sonata,sonata
その頃,at that time,sono goro
町立,Municipal,chouritsu
京王,Keio,keiou
一門,Clan,ichimon
菊池,Kikuchi,kikuchi
ディスプレー,display,disupuree
中華,China,chuuka
台北,Taipei,taihoku
土木,Public works,doboku
中佐,Lieutenant colonel,chuusa
供用,In service,kyouyou
調理,cooking,chouri
ターン,turn,taan
クリスチャン,Christian,kurisuchan
アンナ,Anna,anna
天国,heaven,tengoku
南米,South America,nanbei
豚,Pig,buta
不動,Immobility,fudou
付随,Concomitant,fuzui
アイス,ice,aisu
色々,various,iroiro
メニュー,menu,menyuu
与党,Government,yotou
中京,Chukyo,chuukyou
各駅,Every station,kakueki
皇族,Royalty,kouzoku
関節,joint,kansetsu
年中,Whole year,nenjuu
野党,Opposition party,yatou
宮内,Miyauchi,miyauchi
ギャグ,gag,gyagu
和平,peace,wahei
志願,Volunteering,shigan
糖,sugar,tou
硬貨,coin,kouka
黒田,Kuroda,kuroda
寿命,lifespan,jumyou
前進,Advance,zenshin
軍艦,Warship,gunkan
相違,Difference,soui
名目,nominal,meimoku
便宜,convenience,bengi
外野手,Outfielder,gaiyashu
政界,Political world,seikai
水野,Mizuno,mizuno
景観,Scenery,keikan
創始,Founding,soushi
淡路,Awaji,awaji
グラウンド,Ground,guraundo
収益,Earning,shuueki
本町,Honcho,honchou
ライブラリー,Library,raiburarii
ミズーリ,Missouri,mizuuri
ニュージャージー,New Jersey,nyuujaajii
盗塁,Stolen bases,tourui
農場,farm,noujou
在来,conventional,zairai
メトロ,Metro,metoro
透ける,Show through,suke ru
鉱物,mineral,koubutsu
勲,Isao,isao
バルト,Baltic,baruto
過,Over,ka
俗,Worldliness,zoku
攻勢,offensive,kousei
入隊,Enlistment,nyuutai
川越,Kawagoe,kawagoe
説く,preach,toku
適応,Adaptation,tekiou
牧野,Makino,makino
安田,Yasuda,yasuda
救済,Relief,kyuusai
セッション,session,sesshon
文法,grammar,bunpou
名詞,noun,meishi
スクリーン,screen,sukuriin
火力,Heating power,karyoku
ビーム,beam,biimu
パシフィック,Pacific,pashifikku
補償,compensation,hoshou
帯びる,Take on,obi ru
鴨,duck,kamo
結,Sintered,ketsu
白河,Shirakawa,shirakawa
マリオ,Mario,mario
無くなる,Disappear,naku naru
自国,Home country,jikoku
奇,Odd,ki
感謝,Thanks,kansha
告知,Notice,kokuchi
パーセント,percent,paasento
元帥,Marshal,gensui
車輌,Vehicle,sharyou
多発,Multiple,tahatsu
ション,Deployment,shon
哲,Akira,satoshi
越前,Echizen,echizen
出雲,Izumo,izumo
啓,Kei,kei
スカイ,Sky,sukai
首席,Chief,shuseki
混同,Confusion,kondou
知らせる,Inform,shirase ru
高野,Takano,takano
チェック,check,chekku
進展,Progress,shinten
親友,Close friend,shinyuu
ビートルズ,Beatles,biitoruzu
必殺,Deadly,hissatsu
正当,Legitimate,seitou
上空,Sky,joukuu
佐世保,Sasebo,sasebo
診療,Diagnosis,shinryou
泊,Night,haku
頼む,ask,tanomu
汲む,Draw,kumu
ミシシッピ,Mississippi,mishishippi
プレゼント,Present,purezento
落下,Fall,rakka
運搬,Transportation,unpan
石田,Ishida,ishida
主席,Chief,shuseki
それほど,so,sorehodo
楕円,ellipse,daen
小沢,Ozawa,ozawa
大王,Great king,daiou
好評,Popularity,kouhyou
永久,Forever,eikyuu
老人,Old people,roujin
久保,Kubo,kubo
使者,messenger,shisha
カップリング,Coupling,kappuringu
謝罪,apology,shazai
ワンマン,One-man,wanman
勢い,Vigor,ikioi
掴む,grab,tsukamu
耐久,Endurance,taikyuu
男爵,Baron,danshaku
セカンド,second,sekando
題名,Title,daimei
会合,Meeting,kaigou
勧告,Recommendation,kankoku
射程,Range,shatei
投球,pitching,toukyuu
集英社,Shueisha,shuueisha
背後,Back,haigo
千代,Thousand years,chiyo
フリゲート,frigate,furigeeto
雇う,hire,yatou
シフト,shift,shifuto
目黒,Meguro,meguro
リスナー,listener,risunaa
多少,Some,tashou
ルートヴィヒ,Ludwig,ruutovihi
艦船,Vessels,kansen
バネ,Spring,bane
忠実,Fidelity,chuujitsu
入れ替える,Replace,irekae ru
民放,Commercial broadcasting,minpou
毎日放送,Mainichi Broadcasting System,mainichihousou
浅野,Asano,asano
旧暦,Old lunar calendar,kyuureki
根本,root,konpon
柴田,Shibata,shibata
赴任,Appointed,funin
グラフ,Graph,gurafu
ミシガン,Michigan,mishigan
ウィンブルドン,Wimbledon,uinburudon
県庁,Prefectural Office,kenchou
盛り込む,Incorporate,morikomu
師匠,Teacher,shishou
主砲,Main armament,shuhou
石原,Ishihara,ishihara
過剰,excess,kajou
光る,Shine,hikaru
没後,after death,botsugo
靴,shoes,kutsu
発祥,Birthplace,hasshou
アプリ,Application,apuri
なかなか,Pretty,nakanaka
種別,Kind,shubetsu
禁,Prohibited,kin
伴,Companion,han
スターリン,Stalin,sutaarin
プレミアム,premium,puremiamu
ダグラス,Douglas,dagurasu
木材,wood,mokuzai
槍,spear,yari
ルネサンス,Renaissance,runesansu
肉体,body,nikutai
疎,Sparse,so
寅,Tiger,tora
大敗,Rout,taihai
レアル,Real,rearu
弾く,play,hiku
シベリア,Siberia,shiberia
駅名,Station name,ekimei
瞳,pupil,hitomi
キャッシュ,cache,kyasshu
任官,Appointment,ninkan
フェラーリ,Ferrari,feraari
マジック,magic,majikku
ペット,Pet,petto
温,Temperature,on
囲碁,Go,igo
国々,Countries,kuniguni
信者,Believer,shinja
乗船,On board,jousen
市議,City assemblyman,shigi
アーキテクチャ,architecture,aakitekucha
欄,Column,ran
紅白,red and white,kouhaku
ハンス,Hans,hansu
制服,uniform,seifuku
果実,fruit,kajitsu
医科,Medicine,ika
憧れる,Admire,akogare ru
定住,Settlement,teijuu
習慣,Habit,shuukan
高額,Large sum,kougaku
ラーメン,ramen,raamen
自作,self made,jisaku
西暦,Anno Domini,seireki
ヤマハ,Yamaha,yamaha
普段,usually,fudan
本多,Honda,honda
掌握,Seizing,shouaku
鼠,mouse,nezumi
推移,Transition,suii
不利,Unfavorable,furi
インディーズ,Indies,indiizu
野菜,Vegetables,yasai
公益,Public,koueki
拓,Taku,taku
ドリーム,Dream,doriimu
フェア,Fair,fea
売れる,sell,ure ru
マーティン,Martin,maatein
警告,caveat,keikoku
孤立,Isolation,koritsu
休養,rest,kyuuyou
招聘,Invitation,shouhei
粉,powder,kona
割引,discount,waribiki
軍勢,Troops,gunzei
農地,Agricultural land,nouchi
ナップ,Nap,nappu
インターフェース,interface,intaafeesu
国政,Statecraft,kokusei
大田,Ota,oota
鑑,Kagami,kan
後世,Posterity,kousei
微分,differential,bibun
習得,Learning,shuutoku
役職,Position,yakushoku
ノベル,Novel,noberu
忍,Shinobu,nin
アリーナ,Arena,ariina
重点,Emphasis,juuten
奇跡,miracle,kiseki
追跡,Chase,tsuiseki
電機,Electrical machinery,denki
鳥羽,Toba,toba
ニコライ,Nikolai,nikorai
指数,index,shisuu
オレゴン,Oregon,oregon
浅い,shallow,asai
ホークス,Hawks,hookusu
具合,Condition,guai
親子,Parent and child,oyako
強める,ramp up,tsuyome ru
中立,Neutrality,chuuritsu
ブリッジ,bridge,burijji
採掘,mining,saikutsu
ガイド,guide,gaido
名人,Expert,meijin
横山,Yokoyama,yokoyama
撃退,Beat off,gekitai
手前,This side,temae
南端,Southern tip,nantan
偏,side,hen
無事,Safety,buji
ナレーション,Narration,nareeshon
下関,Shimonoseki,shimonoseki
火星,Mars,kasei
発信,Transmission,hasshin
晃,Akira,akira
斑,Mottled,han
客室,Guest room,kyakushitsu
溢れる,Overflow,afure ru
閣僚,Cabinet ministers,kakuryou
頭文字,Initials,kashiramoji
視覚,Vision,shikaku
工芸,Crafts,kougei
宇治,Uji,uji
倫理,ethics,rinri
貫く,Go through,tsuranuku
グラビア,gravure,gurabia
予報,forecast,yohou
佐野,Sano,sano
柴,Shiba,shiba
隠れる,hide,kakure ru
湘南,Shonan,shounan
排水,Drainage,haisui
片側,one side,katagawa
開店,Open,kaiten
武蔵野,Musashino,musashino
ストーン,Stone,sutoon
アシスト,assist,ashisuto
沈む,Sink,shizumu
券売機,Ticket-vending machine,kenbaiki
露出,Exposure,roshutsu
仮説,hypothesis,kasetsu
ショット,shot,shotto
プレス,press,puresu
変異,Variation, heni
海老,shrimp,ebi
切断,Cutting,setsudan
フォーマット,format,foomatto
磯,Iso,iso
ウィルソン,Wilson,uiruson
素晴らしい,You look amazing,subara shii
補強,Reinforcement,hokyou
ライフル,rifle,raifuru
安倍,Abe,abe
中頃,About the middle,nakagoro
所要,Required,shoyou
摂取,intake,sesshu
萩,Bush clover,hagi
マスク,mask,masuku
エクスプレス,Express,ekusupuresu
厚,Thickness,atsushi
保全,Maintenance,hozen
アルファベット,Alphabet,arufabetto
転送,transfer,tensou
下ろす,Lower,kudaro su
復旧,restoration,fukkyuu
中形,Medium size,chuugata
入居,Residents,nyuukyo
束,bundle,soku
車輪,Wheel,sharin
現職,Incumbent,genshoku
冷戦,The cold war,reisen
仮名,Kana,kana
申し出る,Submit,moushideru
サイン,Sign,sain
たけし,Takeshi,takeshi
替わる,Be replaced,kawa ru
防空,air defense,boukuu
高地,Highlands,kouchi
増設,Expansion,zousetsu
沿革,History,enkaku
暁,Dawn,akatsuki
ペルー,Peru,peruu
ハイビジョン,HDTV,haibijon
モール,the mall,mooru
ヤクルト,Yakult,yakuruto
擁護,Protection,yougo
スパイ,spy,supai
把握,Grasp,haaku
付す,Subjecting,fusu
パンチ,punch,panchi
嫡男,Heir,chaku otoko
占拠,Occupation,senkyo
国旗,National flag,kokki
最長,The longest,saichou
葬儀,Funeral service,sougi
肥,Fertilizer,koe
大内,Ouchi,oouchi
位相,phase,isou
任せる,Entrust,makase ru
正常,normal,seijou
愛好,Love,aikou
炊ける,Cook,take ru
楠,Camphor tree,kusunoki
